symbol,side,entry_time,entry,exit_time,pnl,r,delay_min,hold_min,tp_half,trail_activated,trail_exit_pct,giveback_pct,funding,ambiguous,legs
SOLUSDT,BUY,2025-10-08 01:00,220.85,2025-10-09 16:59,0.69,0.17,60.0,2399.0,True,False,,,0.005,False,tp_half@227.48; half_stop@216.43
ETHUSDT,BUY,2025-10-09 18:00,4333.08,2025-10-10 15:04,-4.34,-1.08,60.0,1264.0,False,False,,,0.04,False,stop@4246.42
BTCUSDT,BUY,2025-10-11 05:00,112916.2,2025-10-11 07:21,-4.3,-1.07,720.0,141.0,False,False,,,0.0,False,stop@110657.88
BTCUSDT,BUY,2025-10-11 09:00,111286.5,2025-10-16 15:43,0.63,0.16,180.0,7603.0,True,False,,,0.071,False,tp_half@114625.1; half_stop@109060.77
BTCUSDT,BUY,2025-10-16 17:00,109197.4,2025-10-17 06:41,-4.3,-1.07,60.0,821.0,False,False,,,0.002,False,stop@107013.45
SOLUSDT,BUY,2025-10-17 10:00,176.68,2025-10-20 00:23,7.1,1.78,120.0,3743.0,True,True,4.42200588634819,4.3509169119311855,0.016,False,tp_half@181.98; trail@184.49
ETHUSDT,BUY,2025-10-21 06:00,3861.65,2025-10-21 20:17,4.86,1.22,60.0,857.0,True,True,2.173941190941691,4.257247549622574,0.006,False,tp_half@3977.5; trail@3945.6
ETHUSDT,BUY,2025-10-22 23:00,3749.81,2025-10-24 15:57,5.83,1.46,60.0,2457.0,True,True,3.155306535531139,4.298137772313798,0.021,False,tp_half@3862.3; trail@3868.13
BTCUSDT,BUY,2025-10-29 18:00,111810.9,2025-10-29 18:39,-4.3,-1.07,60.0,39.0,False,False,,,0.0,False,stop@109574.68
BTCUSDT,BUY,2025-10-30 06:00,110201.3,2025-10-30 13:19,-4.3,-1.08,60.0,439.0,False,False,,,0.007,False,stop@107997.27
SOLUSDT,BUY,2025-10-30 21:00,182.08,2025-11-03 03:45,0.83,0.21,120.0,4725.0,True,False,,,-0.131,False,tp_half@187.54; half_stop@178.44
BTCUSDT,BUY,2025-11-03 12:00,107743.9,2025-11-03 15:30,-4.3,-1.07,480.0,210.0,False,False,,,0.0,False,stop@105589.02
BTCUSDT,BUY,2025-11-03 17:00,106635.2,2025-11-04 05:48,-4.3,-1.08,60.0,768.0,False,False,,,0.008,False,stop@104502.5
ETHUSDT,BUY,2025-11-04 07:00,3510.3,2025-11-04 16:50,-4.3,-1.08,60.0,590.0,False,False,,,0.004,False,stop@3440.09
ETHUSDT,BUY,2025-11-11 23:00,3427.84,2025-11-13 16:25,0.7,0.18,120.0,2485.0,True,False,,,-0.003,False,tp_half@3530.68; half_stop@3359.28
BTCUSDT,SELL,2025-11-24 00:00,86802.8,2025-11-24 18:07,-4.31,-1.08,60.0,1087.0,False,False,,,0.006,False,stop@88538.86
SOLUSDT,SELL,2025-11-25 02:00,137.74,2025-11-26 01:42,0.7,0.17,480.0,1422.0,True,False,,,0.001,False,tp_half@133.61; half_stop@140.49
BTCUSDT,SELL,2025-11-26 20:00,89926.7,2025-11-27 02:44,-4.3,-1.07,60.0,404.0,False,False,,,-0.007,False,stop@91725.23
BTCUSDT,SELL,2025-11-27 06:00,90928.0,2025-11-28 14:25,-4.31,-1.08,420.0,1945.0,False,False,,,0.003,False,stop@92746.56
BTCUSDT,SELL,2025-12-02 21:00,90981.0,2025-12-03 02:13,-4.3,-1.08,360.0,313.0,False,False,,,-0.002,False,stop@92800.62
BTCUSDT,SELL,2025-12-03 08:00,92979.9,2025-12-07 17:35,4.66,1.17,360.0,6335.0,True,True,1.9280511164240843,3.771998033983686,-0.029,False,tp_half@90190.5; trail@91187.2
BTCUSDT,SELL,2025-12-09 21:00,93076.4,2025-12-17 14:52,7.71,1.93,300.0,11152.0,True,True,4.934870708364309,3.6563511266013697,-0.065,False,tp_half@90284.11; trail@88483.2
BTCUSDT,SELL,2025-12-17 16:00,87185.2,2025-12-18 13:47,-4.29,-1.07,60.0,1307.0,False,False,,,-0.015,False,stop@88928.9
ETHUSDT,SELL,2025-12-18 15:00,2948.81,2025-12-19 03:25,4.9,1.23,60.0,745.0,True,True,2.193142318426744,3.7618022185220563,-0.005,False,tp_half@2860.35; trail@2884.14
BTCUSDT,SELL,2025-12-22 14:00,89888.8,2026-01-04 06:06,0.89,0.22,240.0,18246.0,True,False,,,-0.187,False,tp_half@87192.14; half_stop@91686.58
ETHUSDT,SELL,2026-01-05 04:00,3184.48,2026-01-05 20:28,-4.3,-1.08,120.0,988.0,False,False,,,-0.0,False,stop@3248.17
ETHUSDT,SELL,2026-01-05 22:00,3236.59,2026-01-06 14:23,-4.28,-1.07,60.0,983.0,False,False,,,-0.027,False,stop@3301.32
ETHUSDT,SELL,2026-01-06 16:00,3270.62,2026-01-13 15:56,5.72,1.43,60.0,10076.0,True,True,2.939968568650583,3.7330781319749864,-0.072,False,tp_half@3172.5; trail@3174.46
BTCUSDT,SELL,2026-01-13 18:00,93198.2,2026-01-13 22:10,-4.3,-1.08,120.0,250.0,False,False,,,0.0,False,stop@95062.16
SOLUSDT,SELL,2026-01-14 00:00,145.46,2026-01-14 16:33,-4.27,-1.07,60.0,993.0,False,False,,,-0.033,False,stop@148.37
ETHUSDT,SELL,2026-01-14 18:00,3340.99,2026-01-21 15:18,12.52,3.13,60.0,9918.0,True,True,9.701519609457064,3.473018476559352,-0.106,False,tp_half@3240.76; trail@3016.86
ETHUSDT,SELL,2026-01-27 18:00,2928.86,2026-01-27 18:57,-4.3,-1.08,60.0,57.0,False,False,,,0.0,False,stop@2987.44
BTCUSDT,SELL,2026-02-13 20:00,68898.8,2026-02-14 11:21,-4.31,-1.08,240.0,921.0,False,False,,,0.006,False,stop@70276.78
BTCUSDT,SELL,2026-02-14 13:00,69611.8,2026-02-20 09:03,4.83,1.21,240.0,8403.0,True,True,2.033218506057882,3.767953134382392,-0.09,False,tp_half@67523.45; trail@68196.44
BTCUSDT,SELL,2026-02-20 11:00,67920.4,2026-02-25 01:11,7.18,1.79,60.0,6611.0,True,True,4.418713670708641,3.6762033203573594,-0.055,False,tp_half@65882.79; trail@64919.19
BTCUSDT,SELL,2026-02-25 04:00,65371.1,2026-02-25 14:32,-4.28,-1.07,120.0,632.0,False,False,,,-0.02,False,stop@66678.52
BTCUSDT,SELL,2026-02-25 23:00,68399.1,2026-02-28 17:58,6.99,1.75,480.0,4018.0,True,True,4.2513834246357085,3.6826390990524724,-0.034,False,tp_half@66347.13; trail@65491.19
ETHUSDT,SELL,2026-03-01 05:00,2015.15,2026-03-02 01:10,4.38,1.09,180.0,1210.0,True,True,1.6320968662382487,3.7833808897600694,-0.04,False,tp_half@1954.7; trail@1982.26
BTCUSDT,SELL,2026-03-02 18:00,69168.4,2026-03-04 08:49,0.71,0.18,60.0,2329.0,True,False,,,-0.008,False,tp_half@67093.35; half_stop@70551.77
SOLUSDT,SELL,2026-03-04 11:00,90.15,2026-03-04 15:26,-4.3,-1.08,60.0,266.0,False,False,,,0.0,False,stop@91.95
SOLUSDT,SELL,2026-03-04 17:00,91.47,2026-03-04 19:20,-4.3,-1.08,60.0,140.0,False,False,,,0.0,False,stop@93.3
SOLUSDT,SELL,2026-03-04 21:00,92.81,2026-03-09 03:08,12.76,3.19,60.0,6128.0,True,True,10.17519663829329,3.454800129296414,0.129,False,tp_half@90.03; trail@83.37
ETHUSDT,SELL,2026-03-13 03:00,2104.75,2026-03-13 12:48,-4.29,-1.07,60.0,588.0,False,False,,,-0.009,False,stop@2146.85
BTCUSDT,SELL,2026-03-13 15:00,72351.7,2026-03-16 03:35,-4.34,-1.09,120.0,3635.0,False,False,,,0.041,False,stop@73798.73
BTCUSDT,SELL,2026-03-16 07:00,73680.1,2026-03-17 00:10,-4.27,-1.07,180.0,1030.0,False,False,,,-0.032,False,stop@75153.7
SOLUSDT,SELL,2026-03-17 01:00,95.45,2026-03-20 08:10,7.91,1.98,300.0,4750.0,True,True,5.294080670508124,3.6425353588266076,0.092,False,tp_half@92.59; trail@90.4
BTCUSDT,SELL,2026-03-23 16:00,70092.1,2026-03-25 10:47,-4.25,-1.06,120.0,2567.0,False,False,,,-0.053,False,stop@71493.94
ETHUSDT,SELL,2026-04-22 09:00,2386.96,2026-04-29 10:17,4.36,1.09,180.0,10157.0,True,True,1.6880718570901887,3.7812280054965397,0.032,False,tp_half@2315.35; trail@2346.67
ETHUSDT,SELL,2026-04-29 11:00,2332.17,2026-05-04 02:40,0.7,0.17,60.0,6700.0,True,False,,,0.002,False,tp_half@2262.2; half_stop@2378.81
BTCUSDT,SELL,2026-05-04 06:00,79991.3,2026-05-05 13:08,-4.32,-1.08,180.0,1868.0,False,False,,,0.013,False,stop@81591.13
BTCUSDT,SELL,2026-05-05 17:00,81249.2,2026-05-23 20:59,7.83,1.96,60.0,26159.0,True,True,4.9956725727761055,3.6540125933547647,-0.125,False,tp_half@78811.72; trail@77190.26
BTCUSDT,SELL,2026-05-23 22:00,76783.0,2026-06-04 03:07,19.8,4.95,60.0,16147.0,True,True,16.92650716955576,3.19513433963247,-0.163,False,tp_half@74479.51; trail@63786.32
BTCUSDT,SELL,2026-06-07 10:00,62507.9,2026-06-07 22:14,-4.3,-1.08,60.0,734.0,False,False,,,-0.002,False,stop@63758.06
ETHUSDT,SELL,2026-06-08 02:00,1686.15,2026-06-14 21:40,0.68,0.17,180.0,9820.0,True,False,,,0.017,False,tp_half@1635.57; half_stop@1719.87
BTCUSDT,SELL,2026-06-15 02:00,65487.0,2026-06-15 13:20,-4.3,-1.08,240.0,680.0,False,False,,,-0.002,False,stop@66796.74
BTCUSDT,SELL,2026-06-15 18:00,66823.6,2026-06-22 01:26,5.88,1.47,360.0,9086.0,True,True,3.170352989063746,3.724217192728321,-0.005,False,tp_half@64818.89; trail@64705.06
BTCUSDT,SELL,2026-06-22 15:00,64937.7,2026-06-25 05:02,8.11,2.03,60.0,3722.0,True,True,5.404053423512058,3.6383056375572362,-0.001,False,tp_half@62989.57; trail@61428.43
ETHUSDT,SELL,2026-06-29 19:00,1620.33,2026-07-02 11:11,0.74,0.18,60.0,3851.0,True,False,,,-0.038,False,tp_half@1571.72; half_stop@1652.74
BTCUSDT,SELL,2026-07-02 15:00,61676.9,2026-07-03 21:13,-4.26,-1.07,60.0,1813.0,False,False,,,-0.042,False,stop@62910.44
BTCUSDT,SELL,2026-07-03 23:00,62542.2,2026-07-05 22:30,-4.25,-1.06,120.0,2850.0,False,False,,,-0.053,False,stop@63793.04
BTCUSDT,SELL,2026-07-06 00:00,63614.4,2026-07-11 14:00,1.85,0.46,60.0,8040.0,True,False,,,-0.11,False,tp_half@61705.97; eod@64227.1
