symbol,side,entry_time,entry,exit_time,pnl,r,delay_min,hold_min,tp_half,trail_activated,trail_exit_pct,giveback_pct,funding,ambiguous,legs
SOLUSDT,BUY,2025-09-15 09:30,234.57,2025-09-19 04:11,6.29,1.57,30.0,5441.0,True,True,3.7063563115487987,4.321098179647864,0.114,False,tp_half@241.61; trail@243.26
SOLUSDT,BUY,2025-09-19 16:30,238.59,2025-09-22 00:31,-4.32,-1.08,30.0,3361.0,False,False,,,0.027,False,stop@233.82
SOLUSDT,BUY,2025-09-22 01:30,233.65,2025-09-22 05:59,-4.3,-1.07,30.0,269.0,False,False,,,0.0,False,stop@228.98
SOLUSDT,BUY,2025-09-22 06:45,224.84,2025-09-22 09:11,-4.32,-1.08,45.0,146.0,False,False,,,0.02,False,stop@220.34
SOLUSDT,BUY,2025-09-22 09:45,220.87,2025-09-22 19:37,-4.32,-1.08,165.0,592.0,False,False,,,0.02,False,stop@216.45
SOLUSDT,BUY,2025-09-22 20:30,217.76,2025-09-23 03:00,-4.31,-1.08,90.0,390.0,False,False,,,0.016,False,stop@213.4
SOLUSDT,BUY,2025-09-23 03:45,216.79,2025-09-24 03:21,-4.33,-1.08,45.0,1416.0,False,False,,,0.037,False,stop@212.45
SOLUSDT,BUY,2025-09-25 12:15,202.22,2025-09-25 12:29,-4.3,-1.07,135.0,14.0,False,False,,,0.0,False,stop@198.18
SOLUSDT,BUY,2025-09-25 13:30,200.98,2025-09-25 17:14,-4.3,-1.07,30.0,224.0,False,False,,,0.003,False,stop@196.96
SOLUSDT,BUY,2025-09-25 18:30,197.83,2025-09-25 22:47,-4.3,-1.07,30.0,257.0,False,False,,,0.0,False,stop@193.87
SOLUSDT,BUY,2025-09-26 00:30,194.84,2025-09-26 11:08,-4.31,-1.08,30.0,638.0,False,False,,,0.018,False,stop@190.94
SOLUSDT,BUY,2025-10-07 16:45,224.04,2025-10-07 23:57,-4.3,-1.07,45.0,432.0,False,False,,,0.0,False,stop@219.56
SOLUSDT,BUY,2025-10-08 00:30,220.14,2025-10-10 15:20,0.68,0.17,30.0,3770.0,True,False,,,0.017,False,tp_half@226.74; half_stop@215.74
ETHUSDT,BUY,2025-10-10 16:30,4114.8,2025-10-10 19:08,-4.3,-1.07,30.0,158.0,False,False,,,0.0,False,stop@4032.5
BTCUSDT,BUY,2025-10-10 20:30,117016.1,2025-10-10 20:56,-4.3,-1.07,210.0,26.0,False,False,,,0.0,False,stop@114675.78
BTCUSDT,BUY,2025-10-10 22:00,113182.2,2025-10-10 22:05,-4.3,-1.07,60.0,5.0,False,False,,,0.0,False,stop@110918.56
BTCUSDT,BUY,2025-10-10 23:45,114526.5,2025-10-11 00:02,-4.27,-1.07,45.0,17.0,False,False,,,-0.028,False,stop@112235.97
BTCUSDT,BUY,2025-10-11 00:45,112571.2,2025-10-11 07:50,-4.3,-1.07,45.0,425.0,False,False,,,0.0,False,stop@110319.78
ETHUSDT,BUY,2025-10-11 08:15,3769.12,2025-10-11 20:31,-4.29,-1.07,75.0,736.0,False,False,,,-0.007,False,stop@3693.74
BTCUSDT,BUY,2025-10-11 22:15,110877.5,2025-10-16 15:46,0.65,0.16,75.0,6811.0,True,False,,,0.051,False,tp_half@114203.82; half_stop@108659.95
ETHUSDT,BUY,2025-10-17 09:30,3741.7,2025-10-20 17:38,7.44,1.86,90.0,4808.0,True,True,4.803613330838927,4.366817222118288,0.054,False,tp_half@3853.95; trail@3921.44
ETHUSDT,BUY,2025-10-21 05:30,3861.53,2025-10-21 20:17,4.87,1.22,30.0,887.0,True,True,2.1771163243584724,4.257379846848272,0.006,False,tp_half@3977.38; trail@3945.6
ETHUSDT,BUY,2025-10-22 23:30,3793.78,2025-10-24 15:57,4.62,1.15,90.0,2427.0,True,True,1.959734091064847,4.2483222537943695,0.036,False,tp_half@3907.59; trail@3868.13
BTCUSDT,BUY,2025-10-29 17:30,111135.9,2025-10-30 04:26,-4.3,-1.08,30.0,656.0,False,False,,,0.004,False,stop@108913.18
BTCUSDT,BUY,2025-10-30 05:30,109087.5,2025-10-30 17:20,-4.3,-1.07,30.0,710.0,False,False,,,0.002,False,stop@106905.75
SOLUSDT,BUY,2025-10-30 20:30,180.13,2025-11-02 16:13,4.22,1.05,90.0,4063.0,True,True,1.3987675567645572,4.224948648198523,-0.124,False,tp_half@185.53; trail@182.65
BTCUSDT,BUY,2025-11-03 05:15,107903.8,2025-11-03 15:29,-4.29,-1.07,75.0,614.0,False,False,,,-0.009,False,stop@105745.72
BTCUSDT,BUY,2025-11-03 16:30,106306.8,2025-11-04 05:56,-4.3,-1.08,30.0,806.0,False,False,,,0.008,False,stop@104180.66
ETHUSDT,BUY,2025-11-04 06:30,3531.49,2025-11-04 08:15,-4.29,-1.07,30.0,105.0,False,False,,,-0.003,False,stop@3460.86
ETHUSDT,BUY,2025-11-04 12:00,3527.21,2025-11-04 16:24,-4.3,-1.08,60.0,264.0,False,False,,,0.007,False,stop@3456.67
ETHUSDT,BUY,2025-11-04 22:15,3266.1,2025-11-05 01:08,-4.3,-1.08,255.0,173.0,False,False,,,0.004,False,stop@3200.78
ETHUSDT,BUY,2025-11-11 22:15,3423.05,2025-11-13 16:25,0.7,0.18,75.0,2530.0,True,False,,,-0.003,False,tp_half@3525.74; half_stop@3354.59
BTCUSDT,SELL,2025-11-23 23:30,87028.2,2025-11-24 20:21,-4.31,-1.08,30.0,1251.0,False,False,,,0.009,False,stop@88768.76
SOLUSDT,SELL,2025-11-24 21:30,138.45,2025-11-26 18:02,0.71,0.18,90.0,2672.0,True,False,,,-0.005,False,tp_half@134.3; half_stop@141.22
BTCUSDT,SELL,2025-11-26 19:30,89757.0,2025-11-27 02:32,-4.3,-1.07,30.0,422.0,False,False,,,-0.007,False,stop@91552.14
BTCUSDT,SELL,2025-11-27 03:15,91309.9,2025-12-02 01:06,7.32,1.83,255.0,7071.0,True,True,4.604525905734199,3.6690566959332997,-0.005,False,tp_half@88570.6; trail@87105.51
ETHUSDT,SELL,2025-12-02 16:45,2987.58,2025-12-03 02:15,-4.29,-1.07,105.0,570.0,False,False,,,-0.01,False,stop@3047.33
BTCUSDT,SELL,2025-12-03 02:45,92621.5,2025-12-07 17:35,4.29,1.07,45.0,6650.0,True,True,1.5485605393996027,3.7865938254077047,-0.034,False,tp_half@89842.85; trail@91187.2
ETHUSDT,SELL,2025-12-09 17:45,3366.59,2025-12-10 19:00,-4.29,-1.07,105.0,1515.0,False,False,,,-0.01,False,stop@3433.92
ETHUSDT,SELL,2025-12-10 20:45,3397.16,2025-12-11 21:30,6.52,1.63,45.0,1485.0,True,True,3.818766263584867,3.69927822063135,0.008,False,tp_half@3295.25; trail@3267.43
BTCUSDT,SELL,2025-12-17 15:45,88676.7,2025-12-22 12:33,0.75,0.19,45.0,7008.0,True,False,,,-0.052,False,tp_half@86016.4; half_stop@90450.23
BTCUSDT,SELL,2025-12-22 13:30,90087.8,2026-01-05 00:01,0.89,0.22,210.0,19351.0,True,False,,,-0.191,False,tp_half@87385.17; half_stop@91889.56
ETHUSDT,SELL,2026-01-05 02:30,3184.0,2026-01-05 20:27,-4.3,-1.08,30.0,1077.0,False,False,,,-0.0,False,stop@3247.68
ETHUSDT,SELL,2026-01-05 21:30,3230.95,2026-01-06 14:21,-4.28,-1.07,30.0,1011.0,False,False,,,-0.027,False,stop@3295.57
SOLUSDT,SELL,2026-01-06 16:00,141.51,2026-01-08 16:59,5.18,1.3,60.0,2939.0,True,True,2.496784679527944,3.750123666172009,0.018,False,tp_half@137.26; trail@137.98
SOLUSDT,SELL,2026-01-11 17:15,139.87,2026-01-12 02:16,-4.29,-1.07,135.0,541.0,False,False,,,-0.015,False,stop@142.67
BTCUSDT,SELL,2026-01-12 03:45,91946.8,2026-01-13 18:48,-4.25,-1.06,45.0,2343.0,False,False,,,-0.048,False,stop@93785.74
ETHUSDT,SELL,2026-01-13 20:30,3206.98,2026-01-13 22:09,-4.3,-1.08,210.0,99.0,False,False,,,0.0,False,stop@3271.12
BTCUSDT,SELL,2026-01-13 23:30,95350.0,2026-01-14 16:10,-4.25,-1.06,90.0,1000.0,False,False,,,-0.056,False,stop@97257.0
BTCUSDT,SELL,2026-01-14 17:45,97115.7,2026-01-23 17:26,9.36,2.34,105.0,12941.0,True,True,6.605749636773458,3.592086552431786,-0.051,False,tp_half@94202.23; trail@90700.48
ETHUSDT,SELL,2026-01-27 17:30,2946.36,2026-01-27 20:19,-4.3,-1.08,30.0,169.0,False,False,,,0.0,False,stop@3005.29
ETHUSDT,SELL,2026-02-13 17:15,2058.6,2026-02-14 11:21,-4.31,-1.08,75.0,1086.0,False,False,,,0.009,False,stop@2099.77
ETHUSDT,SELL,2026-02-14 12:15,2097.0,2026-02-16 12:51,7.15,1.79,75.0,2916.0,True,True,4.420677157844534,3.6761278016213685,-0.027,False,tp_half@2034.09; trail@2004.3
BTCUSDT,SELL,2026-02-20 11:00,67920.4,2026-02-25 01:11,7.18,1.79,60.0,6611.0,True,True,4.418713670708641,3.6762033203573594,-0.055,False,tp_half@65882.79; trail@64919.19
BTCUSDT,SELL,2026-02-25 02:45,65907.2,2026-02-25 15:33,-4.28,-1.07,45.0,768.0,False,False,,,-0.02,False,stop@67225.34
ETHUSDT,SELL,2026-02-25 18:15,2068.15,2026-02-25 21:36,-4.3,-1.08,315.0,201.0,False,False,,,0.0,False,stop@2109.51
BTCUSDT,SELL,2026-02-25 22:45,68391.6,2026-02-28 17:58,6.98,1.74,45.0,4033.0,True,True,4.240883383339479,3.6830429467946355,-0.034,False,tp_half@66339.85; trail@65491.19
SOLUSDT,SELL,2026-03-01 03:15,87.92,2026-03-02 00:44,6.17,1.54,75.0,1289.0,True,True,3.4404003639672416,3.713830755232037,-0.029,False,tp_half@85.28; trail@84.9
SOLUSDT,SELL,2026-03-02 17:15,88.39,2026-03-03 16:07,5.72,1.43,75.0,1372.0,True,True,3.0125579816721237,3.730286231474153,0.002,False,tp_half@85.74; trail@85.73
BTCUSDT,SELL,2026-03-04 10:45,71286.9,2026-03-04 15:26,-4.3,-1.08,105.0,281.0,False,False,,,0.0,False,stop@72712.64
